Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
1,ORD-1000,01/01/2023,01/03/2023,Standard Class,CUST-200,Customer_1,Home Office,India,Mumbai,Maharashtra,594476,South,PROD-300,Technology,Binders,Notebook,12347.33,4,0.0,2469.47
2,ORD-1001,01/02/2023,01/04/2023,First Class,CUST-201,Customer_2,Home Office,India,Hyderabad,Tamil Nadu,517019,North,PROD-301,Office Supplies,Tables,Notebook,5264.89,6,0.3,-526.49
3,ORD-1002,01/03/2023,01/05/2023,Standard Class,CUST-202,Customer_3,Home Office,India,Hyderabad,Telangana,583613,West,PROD-302,Technology,Binders,Filing Cabinet,10215.83,9,0.1,1021.58
4,ORD-1003,01/04/2023,01/06/2023,Standard Class,CUST-203,Customer_4,Consumer,India,Bangalore,Telangana,591794,West,PROD-303,Furniture,Tables,Smartphone,6941.8,1,0.1,694.18
5,ORD-1004,01/05/2023,01/07/2023,First Class,CUST-204,Customer_5,Home Office,India,Mumbai,Maharashtra,586672,South,PROD-304,Technology,Binders,Filing Cabinet,18706.99,5,0.3,-1870.7
6,ORD-1005,01/06/2023,01/08/2023,First Class,CUST-205,Customer_6,Home Office,India,Mumbai,Tamil Nadu,573847,North,PROD-305,Furniture,Binders,Smartphone,646.92,7,0.2,0.0
7,ORD-1006,01/07/2023,01/09/2023,Standard Class,CUST-206,Customer_7,Consumer,India,Bangalore,Tamil Nadu,582750,West,PROD-306,Technology,Storage,Filing Cabinet,4893.99,1,0.0,978.8
8,ORD-1007,01/08/2023,01/10/2023,Second Class,CUST-207,Customer_8,Home Office,India,Chennai,Delhi,579634,North,PROD-307,Office Supplies,Binders,Wooden Table,7624.46,4,0.3,-762.45
9,ORD-1008,01/09/2023,01/11/2023,Standard Class,CUST-208,Customer_9,Consumer,India,Hyderabad,Tamil Nadu,528251,North,PROD-308,Technology,Phones,Wooden Table,10012.29,6,0.0,2002.46
10,ORD-1009,01/10/2023,01/12/2023,Standard Class,CUST-209,Customer_10,Corporate,India,Delhi,Tamil Nadu,525945,South,PROD-309,Technology,Storage,Wooden Table,17090.94,2,0.2,0.0
11,ORD-1010,01/11/2023,01/13/2023,Standard Class,CUST-210,Customer_11,Home Office,India,Hyderabad,Tamil Nadu,590852,West,PROD-310,Furniture,Binders,Wooden Table,2213.81,5,0.0,442.76
12,ORD-1011,01/12/2023,01/14/2023,Standard Class,CUST-211,Customer_12,Corporate,India,Hyderabad,Karnataka,532217,South,PROD-311,Furniture,Chairs,Office Chair,16214.37,1,0.3,-1621.44
13,ORD-1012,01/13/2023,01/15/2023,First Class,CUST-212,Customer_13,Consumer,India,Chennai,Delhi,508308,West,PROD-312,Furniture,Phones,Wooden Table,1585.24,6,0.0,317.05
14,ORD-1013,01/14/2023,01/16/2023,Standard Class,CUST-213,Customer_14,Home Office,India,Hyderabad,Telangana,505949,West,PROD-313,Technology,Phones,Notebook,16925.12,6,0.1,1692.51
15,ORD-1014,01/15/2023,01/17/2023,Second Class,CUST-214,Customer_15,Consumer,India,Bangalore,Maharashtra,551990,West,PROD-314,Office Supplies,Phones,Notebook,1506.89,4,0.2,0.0
16,ORD-1015,01/16/2023,01/18/2023,First Class,CUST-215,Customer_16,Corporate,India,Bangalore,Telangana,501150,West,PROD-315,Furniture,Storage,Office Chair,855.73,8,0.2,0.0
17,ORD-1016,01/17/2023,01/19/2023,Second Class,CUST-216,Customer_17,Consumer,India,Mumbai,Delhi,589480,West,PROD-316,Furniture,Binders,Wooden Table,14090.75,4,0.2,0.0
18,ORD-1017,01/18/2023,01/20/2023,Second Class,CUST-217,Customer_18,Home Office,India,Delhi,Maharashtra,574740,North,PROD-317,Technology,Binders,Wooden Table,19946.48,8,0.3,-1994.65
19,ORD-1018,01/19/2023,01/21/2023,Second Class,CUST-218,Customer_19,Home Office,India,Hyderabad,Delhi,566617,South,PROD-318,Furniture,Chairs,Wooden Table,17983.9,8,0.2,0.0
20,ORD-1019,01/20/2023,01/22/2023,Second Class,CUST-219,Customer_20,Corporate,India,Hyderabad,Tamil Nadu,594841,North,PROD-319,Office Supplies,Chairs,Filing Cabinet,11731.97,5,0.1,1173.2
21,ORD-1020,01/21/2023,01/23/2023,First Class,CUST-220,Customer_21,Consumer,India,Chennai,Maharashtra,516896,West,PROD-320,Office Supplies,Phones,Smartphone,18389.21,4,0.3,-1838.92
22,ORD-1021,01/22/2023,01/24/2023,First Class,CUST-221,Customer_22,Home Office,India,Bangalore,Tamil Nadu,546175,South,PROD-321,Furniture,Chairs,Filing Cabinet,603.35,2,0.1,60.34
23,ORD-1022,01/23/2023,01/25/2023,Second Class,CUST-222,Customer_23,Corporate,India,Delhi,Telangana,507805,West,PROD-322,Furniture,Storage,Smartphone,19513.81,3,0.0,3902.76
24,ORD-1023,01/24/2023,01/26/2023,Second Class,CUST-223,Customer_24,Home Office,India,Mumbai,Telangana,505237,South,PROD-323,Technology,Binders,Wooden Table,10069.6,3,0.0,2013.92
25,ORD-1024,01/25/2023,01/27/2023,First Class,CUST-224,Customer_25,Home Office,India,Bangalore,Maharashtra,520056,North,PROD-324,Office Supplies,Phones,Wooden Table,14596.47,4,0.0,2919.29
26,ORD-1025,01/26/2023,01/28/2023,First Class,CUST-225,Customer_26,Consumer,India,Mumbai,Maharashtra,545543,South,PROD-325,Office Supplies,Chairs,Filing Cabinet,16506.8,4,0.0,3301.36
27,ORD-1026,01/27/2023,01/29/2023,First Class,CUST-226,Customer_27,Home Office,India,Chennai,Delhi,556556,South,PROD-326,Furniture,Storage,Filing Cabinet,14509.92,5,0.1,1450.99
28,ORD-1027,01/28/2023,01/30/2023,Standard Class,CUST-227,Customer_28,Consumer,India,Chennai,Delhi,503343,South,PROD-327,Technology,Storage,Smartphone,10933.22,4,0.3,-1093.32
29,ORD-1028,01/29/2023,01/31/2023,Standard Class,CUST-228,Customer_29,Home Office,India,Hyderabad,Tamil Nadu,513500,South,PROD-328,Office Supplies,Chairs,Notebook,9794.08,8,0.3,-979.41
30,ORD-1029,01/30/2023,02/01/2023,Standard Class,CUST-229,Customer_30,Corporate,India,Delhi,Maharashtra,553222,South,PROD-329,Office Supplies,Binders,Smartphone,16852.36,6,0.2,0.0
31,ORD-1030,01/31/2023,02/02/2023,Second Class,CUST-230,Customer_31,Home Office,India,Mumbai,Telangana,529375,West,PROD-330,Technology,Chairs,Filing Cabinet,4499.01,6,0.1,449.9
32,ORD-1031,02/01/2023,02/03/2023,Standard Class,CUST-231,Customer_32,Consumer,India,Bangalore,Delhi,509662,South,PROD-331,Technology,Phones,Filing Cabinet,19375.88,8,0.0,3875.18
33,ORD-1032,02/02/2023,02/04/2023,Second Class,CUST-232,Customer_33,Consumer,India,Chennai,Delhi,516964,South,PROD-332,Office Supplies,Chairs,Office Chair,14363.57,7,0.1,1436.36
34,ORD-1033,02/03/2023,02/05/2023,Second Class,CUST-233,Customer_34,Corporate,India,Hyderabad,Telangana,559638,North,PROD-333,Office Supplies,Storage,Filing Cabinet,4390.39,8,0.2,0.0
35,ORD-1034,02/04/2023,02/06/2023,Standard Class,CUST-234,Customer_35,Home Office,India,Hyderabad,Delhi,573666,South,PROD-334,Technology,Chairs,Office Chair,14856.82,2,0.2,0.0
36,ORD-1035,02/05/2023,02/07/2023,Second Class,CUST-235,Customer_36,Home Office,India,Mumbai,Tamil Nadu,585067,North,PROD-335,Office Supplies,Binders,Notebook,10831.88,9,0.1,1083.19
37,ORD-1036,02/06/2023,02/08/2023,Standard Class,CUST-236,Customer_37,Corporate,India,Chennai,Maharashtra,567215,West,PROD-336,Furniture,Tables,Smartphone,14290.99,1,0.1,1429.1
38,ORD-1037,02/07/2023,02/09/2023,Standard Class,CUST-237,Customer_38,Home Office,India,Delhi,Telangana,569042,South,PROD-337,Furniture,Chairs,Smartphone,15471.7,8,0.1,1547.17
39,ORD-1038,02/08/2023,02/10/2023,First Class,CUST-238,Customer_39,Home Office,India,Chennai,Maharashtra,513284,North,PROD-338,Technology,Binders,Office Chair,2202.16,4,0.3,-220.22
40,ORD-1039,02/09/2023,02/11/2023,Standard Class,CUST-239,Customer_40,Consumer,India,Mumbai,Delhi,572789,North,PROD-339,Technology,Binders,Smartphone,10369.03,4,0.0,2073.81
